Prepostion	Hindi	Punjabi	Telugu	Kannada	Tamil	Assamese	Gujarati	Odia	Marathi	Bengali	Malayalam	Examples
outside of	के बाहर	ਦੇ ਬਾਹਰ	బయటకు 	ಹೊರಗೆ 	வெளியே	ৰ বাহিৰত	ની બહાર	ର ବାହାରେ	च्या बाहेर 	এর বাইরে 	അതിനു പുറത്ത്	Superstitions, of course, persist outside of Africa as well.
next	अगला	ਅਗਲਾ	తరువాత 	ಮುಂದಿನ 	அடுத்து	পৰবৰ্ত্তী	આગલું	ର ପର	पुढील 	পরবর্তী 	അടുത്ത	All changes will be activated in the next round
at the behest of	के कहने पर	ਦੇ ਕਹਿਣ ਤੇ	అతని ఆజ్ఞా ద్వారా 	ಆಣತಿಯಂತೆ	உத்தரவின் பேரில்	ৰ কোৱাৰ মতে	ના કેહવા મુજબ	ର କହିବା ରୁ	च्या सांगण्या वरून 	এর কথা মত 	നിർദ്ദേശപ്രകാരം	He did at the behest of Anup
abreast	बराबर	ਬਰਾਬਰ	వరసగా 	ಸಮನಾಗಿ 	இணையாக	সমান	સમાન	ସମାନ	बरोबरीने	সমান 	ഇടയ്ക്കിടെ	
before	से पहले	ਤੋਂ ਪਹਿਲਾਂ	ముందు 	ಮುಂಚೆ 	முன்பாக	ৰ আগত	ની પેહલા	ର ପୂର୍ବରୁ	च्या आधी 	এর আগে 	മുമ്പ്	Anup comes before Akshay
considering	ध्यान में रखते हुए	ਧਿਆਨ ਰੱਖਦੇ ਹੋਏ	ఆలోచించి 	ಪರಿಗಣಿಸಿ	கொண்டு	ধ্যানত ৰাখি	ધ્યાનમાં રાખી ને	ଧ୍ୟାନ ରେ ରଖି	विचारात घेऊन 	মনে রেখে 	പരിഗണിച്ച്	Consedering the descision it should be done
beside	के साथ	ਦੇ ਨਾਲ	పక్కన 	ಬಳಿಯಲ್ಲಿ 	அருகில்	ৰ কাষত	ની સાથે	ର ସାଙ୍ଗରେ	च्या सोबत 	এর সাথে 	അരികിൽ	
from	से	ਤੋਂ	నుండి 	ಇಂದ 	இருந்து	পৰা	થી	ରୁ	पासून 	থেকে 	മുതൽ	
even if	भले ही	ਭਾਂਵੇ	అయిన కూడ 	ಆದರು	இருந்தபோதிலும்	যদিওবা	ભલે જો	ଯଦି ବି	जरी 	যদিওবা  	എന്നിരുന്നാലും	i am going to participate in the event even if others does not 
except	के अलावा	ਦੇ ਇਲਾਵਾ	విడిచిపెట్టు 	ಹೊರತುಪಡಿಸಿ	தவிர	ৰ বাহিৰে	સિવાય	ର ଛଡା	च्या शिवाय 	ছেড়ে 	ഒഴികെ	We all are here except Arun
amidst	के बीच	ਦੇ ਵਿਚ	మధ్య 	ನಡುವೆ 	இடையில்	ৰ মাজত	ના મધ્યે	ର ମଝି	च्या मध्ये	এর মধ্যে 	നടുവിലൂടെ	Anup is amidst the company.
by	के द्वारा	ਦੇ ਦੁਆਰਾ	ద్వారా 	ಇಂದ 	ஆல்	ৰ দ্ৱাৰা	ના દ્વારા	ର ଦ୍ଵାରା	च्या द्वारा 	এর দ্বারা 	വഴി	It is done by Anup.
to	को	ਨੂੰ	కు 	ಗೆ 	க்கு 	লৈ	ને	କୁ	ला 	তে 	ലേക്ക്	Give it to Anup.
ahead of	के आगे	ਦੇ ਅੱਗੇ	ముందుగ 	ಮುಂದೆ	முன்னால்	আগত	ની આગે	ର ଆଗରେ	च्या पुढे 	এর আগে 	മുന്നിൽ	Anup is ahead of Akshay
of	का	ਦਾ	యొక్క 	ಇಂದ 	இன்	ৰ	ની	ର	चा 	এর 	അതിൽ	This is book is of Anup.
up	के ऊपर	ਦੇ ਉੱਤੇ	పైకి 	ಮೇಲೆ 	மேல் 	ৰ ওপৰত	ની ઉપર	ର ଉପରେ	च्या वर 	উপর 	മുകളിലേക്ക്	Kepp the book up the table.
by virtue of	के आधार पर	ਦੇ ਅਧਾਰ ਤੇ	కారణమువలన	ಕಾರಣದಿಂದ 	அடிப்படையில்	ক আধাৰ কৰি	ના આધાર પર	ର ଆଧାରେ	च्या आधाराने	এর আধার 	അടിസ്ഥാനത്തിൽ	By virtue of law he is guilty
under	के नीचे	ਦੇ ਥੱਲੇ	కింద 	ಕೆಳಗೆ 	அடியில்	ৰ তলত	ની નીચે	ର ତଳେ	च्या खाली	এর নীচে 	കീഴെ	Keep the bottle under the table
such as	जैसे	ਜਿਵੇਂ	వంటి 	ತರಹ 	மாதிரி 	যেনে	જેમકે	ଯେମିତି କି	जसे 	এর মতো 	അതുപോലെ	
as soon as	जल्द से जल्द	ਜਲਦ	సాధ్యమయినంత త్వరగా	ಬೇಗ 	உடன் 	যিমান পাৰি সিমান সোনকালে	જલ્દીથી જલ્દી	ଯେତେ ଜଲ୍ଦି ହେଇ ପରେ	लवकरात लवकर	যত তাড়াতাড়ি 	ഉടനടി	
with regard to	के सम्बन्ध में	ਦੇ ਸਬੰਧ ਵਿੱਚ	సంభందించి 	ಸಂಬಂಧಿಸಿದ	குறித்து 	ৰ সম্মন্ধত	ના વિષય માં	ର ସମ୍ବନ୍ଧ ରେ	च्या संबंधित	এর সম্বন্ধে 	സംബന്ധിച്ച	
circa	लगभग	ਲਗਭਗ	సుమారు 	ಸುಮಾರು 	ஏறத்தாழ	প্ৰায়	લગભગ	ପାଖା ପାଖି	जवळपास 	প্রায় 	കുറിച്ച്	
over	के ऊपर	ਦੇ ਉੱਤੇ	పైన 	ಆಚೆಗೆ 	மேலே	ৰ ওপৰত	ની ઉપર	ର ଉପରେ	च्या वर 	এর উপর 	മേൽ	
as of	के रूप में	ਦੇ ਰੂਪ ਵਿੱਚ	నాటికి 	ರೂಪದಲ್ಲಿ 	வரை	ৰ ৰূপত	ના રૂપમાં 	ର ରୂପ ରେ	जसे 	এই রূপে 	പോലെ	
versus	के मुक़ाबले	ਦੇ ਮੁਕਾਬਲੇ	విరుద్ధముగా	ವಿರುದ್ಧ	எதிராக	ৰ বিপৰিতে	ની વિરુદ્ધ	ର ମୁକାବିଲା ରେ	च्या विरुद्ध	বনাম ,বিরুদ্ধে 	എതിരായി	
through	के माध्यम से	ਦੁਆਰਾ	ద్వారా 	ಮೂಲಕ	மூலம் 	ৰ মাধ্যমেৰে	ના દ્વારા	ର ମାଧ୍ୟମ ରେ	च्या माध्यमातून 	এর মাধ্যমে 	മുഖാന്തിരം	
around	के आस पास	ਦੇ ਆਲੇ ਦੁਆਲੇ	చుట్టూ 	ಸುತ್ತ 	ஏறத்தாழ	ৰ আসে পাসে	ની આજુબાજુ	ର ଆଖ ପାଖ ରେ	जवळपास 	এর কাছাকাছি 	ചുറ്റും	
than	से	ਤੋਂ	కన్న 	ಇಂತ 	விட	তকৈ	થી	ଠାରୁ	च्या पेक्षा 	থেকে 	അധികം	
outside	के बाहर	ਤੋਂ ਬਾਹਰ	బయట 	ಹೊರಗೆ 	வெளியே	ৰ বাহিৰত	ની બહાર	ର ବାହାରେ	च्या बाहेर 	এর বাইরে 	പുറത്ത്	
adjacent to	के पास	ਦੇ ਲਾਗੇ	పక్కనే 	ಪಕ್ಕದಲ್ಲಿ 	அருகில்	ৰ ওচৰত	ની બાજુમાં 	ର ପାଖ ରେ	च्या लगत 	এর সংলগ্ন 	 ന്‍റെ അടുത്ത്	
in accordance with	के अनुसार	ਦੇ ਅਨੁਸਾਰ	అనుసరించి 	ಅನುಸಾರವಾಗಿ 	படி 	ৰ অনুসাৰে	ના અનુસાર	ର ଅନୁସାରେ	च्या अनुसार 	এর অনুসারে 	ഇതനുസരിച്ച്	
amongst	के बीच में	ਦੇ ਵਿੱਚ	నడుమ 	ನಡುವೆ 	இடையில்	ৰ ভিতৰত	ના મધ્યમાં	ର ମଝିରେ	च्या मध्ये 	এর মধ্যে থেকে 	ഇടയിൽ	
underneath	के नीचे	ਦੇ ਥੱਲੇ	కింద 	ಕೆಳಗೆ 	அடியில்	ৰ তলত	ની નીચે 	ର ତଳେ	च्या खाली 	এর নীচে 	കീഴെ	
upside	उल्टा	ਪੁੱਠਾ	పైభాగము	ಉಲ್ಟಾ 	தலைகீழாக	ওলোটা	ઊંધું	ର ତଳେ	वरती 	উল্টো 	ഉയർച്ച	
despite	के बावजूद	ਦੇ ਬਾਵਜੂਦ	అతిక్రమించి 	ಹೊರತಾಗಿ	இருந்தபோதிலும்	ৰ স্বত্তেও	છતાં	ର ସତ୍ତ୍ବେ	तरी सुद्धा 	তা স্বত্তেও 	എങ്കിലും	
during	के दौरान	ਦੇ ਦੌਰਾਨ	అప్పుడు 	ಸಮಯದಲ್ಲಿ 	போது	ৰ সময়ত	દરમ્યાન	ର ବେଳେ	च्या दरम्यान 	এই সময়ে 	സമയത്ത്	
with	के साथ	ਦੇ ਨਾਲ	చేత 	ಜೊತೆಗೆ 	உடன்	ৰ সৈতে	સાથે	ର ସାଙ୍ଗରେ	च्या सोबत 	এর সাথে 	കൂടെ	
below	के नीचे	ਦੇ ਥੱਲੇ	కింద 	ಕೆಳಗೆ 	கீழே	ৰ তলত	 નીચે	ର ତଳେ	च्या खाली 	এর নীচে 	താഴെ	
absent	के बिना	ਗੈਰਹਾਜ਼ਰ	అనుపస్థిత	ಅನುಪಸ್ಥಿತ	இல்லாமல்	ৰ অবিহনে	ગેરહાજર	ର ଛଡା	च्या शिवाय	এ ছাড়া 	അഭാവത്തിൽ	
regarding	के बारे में	ਦੇ ਬਾਰੇ 'ਚ	గురించి 	ಕುರಿತಾಗಿ 	பற்றி 	ৰ বিষয়ে	સંબંધિત	ର ବିଷୟ ରେ 	च्या बाबतीत 	এর সম্বন্ধে 	കുറിച്ച്	
save	के अलावा	ਦੇ ਇਲਾਵਾ	తప్ప 	ಹೊರತಾಗಿ	தவிர	ৰ বাহিৰে	ના વગર	ର ଛଡା	त्याला सोडून 	এটা ছাড়া 	രക്ഷിക്കും	We had no hope save one.
bar	के अलावा	ਨੂੰ ਛੱਡ ਕੇ	అడ్డుపడు	ಹೊರತುಪಡಿಸಿ 	தவிர	ৰ বাহিৰে	ના વગર	ର ଛଡା	त्याला सोडून 	এটা ছাড়া 	ഇതു കൂടാതെ	She is the brightest student I've ever known, bar none. [=I have never known a student who is brighter than she is]
like	जैसे	ਜਿਵੇਂ	పోలిన 	ತರಹ 	மாதிரியாக 	ৰ নিচিনা	જેમકે 	ଯେମିତି କି	जसे 	মতো 	അതു പോലെ	He is like Anup
excluding	को हटा कर	ਨੂੰ ਹਟਾ ਕੇ	విడిచి 	ಹೊರತುಪಡಿಸಿ 	தவிர	ক এৰি	ને બાદ કરી 	କୁ ଛାଡି	ला वगळून 	ব্যতীত 	ഒഴികെ	Excluding the offer the price was not good.
inside	के अंदर	ਦੇ ਅੰਦਰ	లోపల 	ಒಳಗೆ 	உள்ளே	ৰ ভিতৰত	અંદર	ର ଭିତରେ	च्या आत 	এর মধ্যে 	ഉള്ളിൽ	The ball is inside home.
by means of	के ज़रिये	ਦੇ ਜ਼ਰੀਏ	సాదన ద్వారా 	ಮೂಲಕ 	மூலம் 	ৰ জৰিয়তে	માધ્યમ દ્વારા	ର ବ୍ୟବହାର କରି	च्या माध्यमातुन 	উপায়ে 	മുഖേന	He went by means of air.
as far as	जहाँ तक	ਜਿੱਥੇ ਤਕ	వీలైనంత	ಮಟ್ಟಿಗೆ 	வரையில்	যিমানলৈ	જ્યાં સુધી	ଯେବେ ଯାଏଁ	जिथ पर्यंत 	যত দূর 	അതുവരെ	As far as I know , he is not guilty.
because of	की वजह से	ਦੀ ਵਜਹ ਤੋਂ	ఎందుకంటే	ಕಾರಣದಿಂದ 	காரணமாக	ৰ কাৰণে	ના કારણે	ର ପାଇଁ	च्या कारणाने 	এর কারণে 	കാരണം	Because of Anup , we lost the match
as regards	के सम्बन्ध में	ਦੇ ਬਾਰੇ 'ਚ	దానికి సంబంధించి 	ಸಂಬಂಧಿಸಿದಂತೆ 	பொறுத்த வரை	ৰ সম্মন্ধত	બાબતે	ର ସମ୍ବନ୍ଧ ରେ	च्या संदर्भातील 	এর সম্বন্ধে 	ഇതിനെ സംബന്ധിച്ച്	As regards [=regarding] your first question, we cannot assist you.
until	तक	ਤਕ	వరకు 	ತನಕ 	வரையில் 	ৰ লৈকে	ત્યાં સુધી	ଯାଏଁ	पर्यंत 	পর্য্যন্ত 	വരെ	We are here until evening.
as well as	साथ ही साथ	ਨਾਲ ਨਾਲ	అలాగే 	ಹಾಗೂ 	அதே போல்	ৰ লগতে	તેમજ	ର ସାଙ୍ଗରେ	तसेच 	পাশাপাশি 	അതുപോലെ തന്നെ	He dance as well as sung.
opposite of	के विपरीत	ਦੇ ਉਲਟ	వ్యతిరేకం 	ವಿರುದ್ಧ 	நேர்மாறாக	ৰ বিপৰিতে	ની વિરુદ્ધ	ର ବିପରୀତ ରେ	च्या विरुद्ध	এর বিপরীত 	വിപരീതമായ	Agara is opposite of HSR
due to	की वजह से	ਦੀ ਵਜਹ ਤੋਂ	కారణంగా	ಕಾರಣ 	காரணமாய்	ৰ কাৰণে	ના કારણે	ର ଯୋଗୁଁ 	च्या मुळे 	কারণে	കാരണം	Due to rain ,the match stopped
following	होने पर	ਹੋਣ ਤੇ	అనుసరించి 	ಅನುಸರಿಸುವ	தொடர்ந்து 	ৰ হোৱাৰ পিচত	થવા પર	ହବା ଯୋଗୁଁ	झाल्या वर 	হওয়ার জন্য 	പിന്തുടരുന്നു	Following the pain, he ate medicine
near to	के पास	ਦੇ ਨੇੜੇ	దగ్గరగా 	ಹತ್ತಿರ	அருகில்	ৰ কাষত	ની નજીક	ର ପାଖରେ	च्या जवळ 	এর নিকট 	സമീപം	HSR is near to kormangala
beneath	के नीचे	ਦੇ ਥੱਲੇ	తక్కువ 	ಕೆಳಗೆ 	கீழே	ৰ তলত	ની નીચે	ର ତଳେ	च्या खाली 	এর নীচে 	കീഴ്ഭാഗത്ത്	Ball is beneath the table
minus	के सिवाय	ਦੇ ਸਿਵਾ	 మినహాయింపు	ಹೊರತುಪಡಿಸಿ	இல்லாமல்	ৰ অবিহনে	ના વગર	ର ଛଡା	च्या शिवाय 	ছাড়া , বিনা 	ഒഴികെ	We all are here minus Anup.
pre	के पूर्व	ਤੋਂ ਪਹਿਲਾਂ	పూర్వ 	ಪೂರ್ವ 	முன்பாக	ৰ পূৰ্বে	ની પૂર્વ	ର ପୂର୍ବ ରୁ	च्या आधी 	প্রাক 	മുന്‍പ് 	You should drink water pre workout
atop	के ऊपर	ਦੇ ਉੱਤੇ	పైన 	ಮೇಲೆ 	அதற்கு மேல்	ৰ ওপৰত	ની ઉપર	ର ଉପରେ	च्या वर 	এর উপর 	മുകളിൽ	Book is atop the table
on account of	की वजह से	ਦੀ ਵਜਹ ਤੋਂ	ఆ సందర్భంలో 	ಸಲುವಾಗಿ 	காரணமாக	ৰ কাৰণে	ના કારણે	ର ଲାଗି	च्या कारणाने 	কারণে	കാരണം	On account of republic day, the shop will be closed.
in spite of	के बावजूद	ਦੇ ਬਾਵਜੂਦ	అయినప్పటికీ	ಹೊರತಾಗಿಯೂ	இருந்தபோதிலும்	ৰ স্বত্তেও	તેમ છતા પણ	ର ପରେ ବି	तरीही 	তা স্বত্তেও 	എന്നിട്ടുപോലും	In spite of rain , we played the match
in lieu of	के बदले	ਦੇ ਬਦਲੇ	బదులుగా	ಬದಲಿಗೆ 	அதற்கு பதிலாக 	ৰ পৰিবৰ্ত্তে	ની બદલે	ର ବଦଳ ରେ	च्या बदल्यात 	পরিবর্তে	പകരം	The company is allowing workers to receive cash in lieu of vacation time.
alongside	के साथ	ਦੇ ਨਾਲ	కలసి 	ಜೊತೆಗೆ 	உடன்	ৰ সৈতে	ની સાથે	ର ସାଙ୍ଗରେ	च्या सोबत 	এর পাশাপাশি	അതോടൊപ്പം	He is dancing alongside singing.
near	के पास	ਦੇ ਨੇੜੇ	దగ్గెర 	ಹತ್ತಿರ 	அருகில்	ৰ কাষত	ની નજીક	ର ପାଖରେ	च्या जवळ 	এর নিকটে 	സമീപം	My home is near cafe.
next to	के बगल में	ਦੇ ਲਾਗੇ	పక్కన 	ಪಕ್ಕ 	பக்கத்தில்	ৰ কাষত	ના પછીનું	ର ପାଖରେ	च्या पुढे 	এর কাছে 	അടുത്തതായി	My home is next to the street
past	के बाद	ਤੋਂ ਬਾਦ	వెనక 	ಕಳೆದ 	தாண்டி 	ৰ পিছত	ના પછી	ର ପରେ	च्या नंतर 	এর পরে 	കഴിഞ്ഞ	We are here past 10.
owing to	के कारण	ਦੇ ਕਾਰਣ	కారణం వల్ల 	ಕಾರಣದಿಂದ	காரணமாக	ৰ কাৰণে	ના કારણે	ର କାରଣ ରୁ	चे कारण 	এর কারণে 	കാരണം	Owing to illness, he is on leave.
as	के जैसा	ਦੇ ਜਿਹਾ	అందున 	ಅಂತೆ 	ஆக 	ৰ নিচিনা	તરીકે	ର ଭଳି	जसे 	এর মতো 	പോലെ	He is as Anup
at	पर	 'ਤੇ	వద్ద 	ಅಲ್ಲಿ 	இல்	ওপৰত	પર 	ଠାରେ	वर 	এ 	ല്‍ 	He is at the station
with respect to	के सम्बन्ध में	ਦੇ ਸਬੰਧ ਵਿੱਚ	సంబంధించడంతో 	ಸಂಬಂಧಿಸಿದಂತೆ	பொறுத்த வரை	ৰ তুলনাত	ને સંબંધિત	ର ସମ୍ବନ୍ଧ ରେ	च्या संदर्भातील 	এর তুলনায় 	അതു സംബന്ധിച്ച് 	With respect to the compaint , this is the outcome
in	में	 'ਚ	ఇందు 	ಒಳಗೆ 	இல்	ভিতৰত	માં	ରେ	मध्ये 	মধ্যে 	അകത്ത്	He is in the club.
notwithstanding	के बावजूद	ਦੇ ਬਾਵਜੂਦ	అయినప్పటికిని	ಹೊರತಾಗಿ 	இருப்பினும்	ৰ স্বত্তেও	તેમ છતાં	ର ପରେ ବି	तरीसुद्धा 	তা স্বত্তেও 	ഉണ്ടെന്നിരുന്നാലും	The law was passed, our objections notwithstanding. [=the law was passed despite our objections]
beyond	के बाहर	ਦੇ ਬਾਹਰ	అవతల 	ಆಚೆ 	அப்பால்	ৰ বাহিৰত	બહાર	ର ବାହାରେ	च्या बाहेर 	এর বাইরে 	അതിനപ്പുറം	He is beyond our reach.
opposite to	के सामने	ਦੇ ਸਾਮਣੇ	ఎదురుగా	ವಿರುದ್ಧ 	முன்னால்	ৰ সন্মুখত	ના વિરુદ્ધ	ର ସାମନା ରେ	च्या समोर 	এর সামনে 	മുന്നില്‍ 	My home is opposite to club
close to	के पास	ਦੇ ਨੇੜੇ	దగ్గరగా	ಹತ್ತಿರ 	அருகில்	ৰ ওচৰত	નજીક	ର ପାଖ ରେ	च्या जवळ 	এর সামনে 	അടുത്ത്	My home is close to bus stop
in front of	के सामने	ਦੇ ਸਾਮਣੇ	ముందు 	ಎದುರು 	முன்னால்	ৰ সন্মুখত	ની સામે	ର ସାମନା ରେ	च्या समोर 	এর সামনে 	മുമ്പിൽ	My home is in front of bus stop
thanks to	की बदौलत	ਦੀ ਬਦੌਲਤ	మీకు ధన్యవాదాలు	ಕಾರಣದಿಂದ 	காரணம்	ৰ জৰিয়তে	ના કારણે 	ର ଦୟା ରୁ	च्या बदल्यात 	এর জন্য 	നന്ദി	Thanks to Anup , we won (Due to Anup , we won)
for	के लिए	ਦੇ ਲਈ	కోసం 	ಗಾಗಿ 	ஆக	ৰ কাৰণে	માટે	ପାଇଁ	च्या साठी 	এর জন্য 	വേണ്ടി 	This is for Anup
as if	जैसे की	ਜਿਵੇਂ ਕਿ	అన్నట్లు 	ರೀತಿ 	மாதிரி 	যেন	જેમકે 	ଯେମିତି କି	जसे की 	যেন	പോലെ	As if he knows everything.
since	से	ਤੋਂ	నుండి 	ಅ೦ದಿನಿ೦ದ	முதல் 	ৰ পৰা	થી 	ରୁ	पासून 	থেকে 	മുതലുള്ള	Since long time he is ill.
rather than	के बजाय	ਨਾਲੋਂ	దానికన్నా	ಬದಲಿಗೆ 	பதிலாக	বৰঞ্চ	તેના કરતા	ର ବଦଳ ରେ	च्या ऐवजी	বরঞ্চ 	അതിലും കൂടുതൽ	Rather than(instead of) going home , he went to play
aside from	के अलावा	ਦੇ ਇਲਾਵਾ	మరో పక్క 	ಹೊರತುಪಡಿಸಿ 	தவிர 	ৰ বাহিৰে	સિવાય	ର ବଦଳ ରେ	च्या शिवाय 	কে ছাড়া 	അതല്ലാതെ	Aside from story books, he has many novels.
per	प्रति	ਦਾ	ప్రతి 	ಪ್ರತಿ 	ஒரு 	প্ৰতি	પ્રતિ	ପ୍ରତି	प्रति 	প্রতি 	ഓരോ	The pay is $12 per hour.
subsequent to	के बाद	ਤੋਂ ਬਾਦ	తదుపరి 	ನಂತರದ 	பின்னர் 	ৰ পিচত	ના પછી 	ର ପରେ	च्या नंतर 	এর পর 	അതിനുശേഷം	There is dance show subsequent to awards.
as opposed to	के मुकाबले	ਦੇ ਮੁਕਾਬਲੇ	వ్యతిరేకంగా 	ವಿರುದ್ಧವಾಗಿ 	பதிலாக	ৰ বিপৰিতে	ના વિરોધ માં	ର ମୁକାବିଲା ରେ	च्या तुलनेत 	এর তুলনায় 	എതിരെയുളള	Anup is nothing as opposed to(in comparisionm to) Akshay
till	तक	ਤਕ	వరకు 	ತನಕ 	வரை	লৈ	સુધી	ଯାଏଁ	पर्यंत 	পর্য্যন্ত 	വരെ	We are here till 10.
behind	के पीछे	ਦੇ ਪਿੱਛੇ	వెనక 	ಹಿಂದೆ 	பின்னால்	ৰ পিচত	ની પાછળ 	ର ପଛ ରେ	च्या पाठी 	এর পিছনে 	പിന്നിൽ	My home is behind the forest walls
up to	तक	ਤਕ	వరకు 	ತನಕ 	அது வரை	লৈ	સુધી 	ଯାଏଁ	पर्यंत 	পর্য্যন্ত 	 വരെ	He is up to the mark.
on top of	के ऊपर	ਦੇ ਉੱਤੇ	పైన 	ಅದಲ್ಲದೇ 	அதற்கு மேல்	ৰ ওপৰত	ની ઉપર 	ର ଉପରେ	च्या वर 	এর উপর 	ന്‍റെ മുകളില്‍ 	The book is on top of the table.
astride	के आर-पार	ਦੇ ਆਰ-ਪਾਰ	అడ్డంగా 		கால்களை அகற்றி	ৰ ইপাৰ সিপাৰ	ની આર પાર 	ର ଏପଟେ-ସେପଟେ	च्या आर-पार	এর আশপাশ  	അരികിൽ	She was sitting astride a horse.(with one leg or part on each side of (something))
above	के ऊपर	ਦੇ ਉੱਤੇ	పైన 	ಮೇಲೆ 	மேலே	ৰ ওপৰত	ની ઉપર 	ର ଉପରେ	च्या वर 	এর উপর 	മുകളിൽ	He is above the rooftop.
between	के बीच में	ਦੇ ਵਿੱਚ	మధ్య 	ನಡುವೆ 	இடையே	ৰ মাজত	ની વચમાં 	ର ମଝିରେ	च्या मध्ये 	এর মধ্যে 	ഇടയില്	The marker is in between the pages
out of	में से	ਵਿੱਚੋਂ	లోనుంచి	ಅದರಿಂದ 	க்கு 	ৰ মাজৰ পৰা	માંથી 	ରୁ	च्या मधून 	এর মধ্যে 	ല്‍ നിന്നും	3 out of 5
out	के बाहर	ਦੇ ਬਾਹਰ	బయటకు 	ಹೊರಗೆ 	வெளியே	ৰ বাহিৰ	બહાર		च्या बाहेर 	এর বাইরে 	പുറത്ത്	She looked out [=out of] the window.
across	में	ਵਿੱਚ	అడ్డముగా 	ಅಡ್ಡಲಾಗಿ	குறுக்காக	ওপৰত	સમગ્ર	ରେ	मध्ये 	দিয়ে 	കുറുകേ	Airplanes flew across the sky above us.
apart from	के अलावा	ਦੇ ਇਲਾਵਾ	అది కాకుండా	ಹೊರತುಪಡಿಸಿ 	தவிர 	ৰ বাহিৰে	સિવાય	ର ଛଡା	च्या शिवाय 	এটা ছাড়া 	ഇതുകൂടാതെ	Apart from Anup , everyone is present.
on behalf of	की ओर से	ਦੀ ਤਰਫ਼ੋਂ	బదులుగా 	ಪರವಾಗಿ 	பதிலாக	ৰ ফালৰ পৰা	વતી	ର ତରଫ ରୁ	च्या वतीने 	তরফে	ഇതിന്റെ പേരിൽ	On behalf of the company, everyone is getting laptops.
towards	की तरफ	ਦੀ ਤਰਫ਼	పక్కగా 	ಕಡೆಗೆ 	நோக்கி	ৰ তৰফলৈ	તરફ	ର ଆଡକୁ	च्या दिशेने 	এর দিকে 	ഭാഗത്തേക്കു	He is going towards the town
in addition to	के साथ	ਦੇ ਨਾਲ	అదనంగా	ಜೊತೆಗೆ 	மேலும்	ৰ লগতে	ની સાથે 	କୁ ମିସେଇ କରି	च्या सोबत 	এর সাথে 	ഇതിനുപുറമെ	This is in addition to the gift.
opposite	के सामने	ਦੇ ਸਾਮਣੇ	ఎదురుగానున్న	ವಿರುದ್ಧ 	எதிரில்	ৰ সন্মুখত	ની વિરુદ્ધ	ର ଆଗରେ	च्या समोर 	এর সামনে 	ന്‍റെ മുന്നില്‍ 	My home is opposite the club
